,negativo
0,todo me gustó
3,el estacionamiento
5,todo súper bien
6,nada
15,no hay nada que comentar.
20,nada
27,nada
28,todo bien
31,me gusto todo.
34,nos gustó todo
41,piscina diminuta! gimnasio pequeño!
52,no me gustó la piscina
53,nada
57,nada
68,nada
71,todo ok
74,nada
77,todo ok
89,nada
99,no hay nada que no me gustara
107,no me gustó volver a casa jajajaja
113,todo me gustó
118,no tengo queja de nada.
123,nada
134,espíritu
136,nada
137,todo ok
138,toallas
151,nada
161,nada
164,nada que decir
166,nos gustó todo
167,nada
179,todo bueno.
190,"nada, todo perfecto."
192,todo estuvo ok
205,nada
208,me gustó todo. no tengo queja.
212,
221,nada
226,nada
233,me gustó todo
239,nada digno de comentar.
240,todo me gusto
241,las almohadas
252,nada
258,nada que decir
266,precio. mobiliario.
274,nada
286,absolutamente nada negativo.
373,Ojalá la azotea estuviera abierta todos los días a las 12:00 para el almuerzo.
374,¡No pudimos encontrar nada que criticar! ¡De principio a fin fue un regalo perfecto! ¡volveremos!
375,nada
376,Reemplace las viejas máquinas de café para el desayuno y ofrezca un café de última generación en una máquina de café Nexpresso. 20 por desayuno merece un buen café
378,"Lamento que la piscina estuviera cerrada porque eran las 23, lo cual para los británicos es cálido."
380,nada
381,
383,instalaciones del personal gran desayuno con muchas opciones
385,"Nada es indeseable, aunque creo que la insonorización podría ser mejor. Estaba en el sexto piso, puedo escuchar los autos cuando pasan por el lado del hotel, nada intrusivo, puede servir como un ruido blanco muy suave de fondo."
387,piscina pequeña
388,"Todo bien pero acceso limitado al área de la piscina. Quería sentarme allí en silencio, pero me sentí muy ajeno a comprar una bebida en el bar y el área de la piscina parecía cerrada."
389,"Los ascensores se sobrecargaban durante las horas punta, como la hora del bar a primera hora de la tarde."
390,"Excelente ubicación para visitar el nuevo complejo artístico, pero a cierta distancia del casco antiguo, demasiado lejos para caminar pero cubierto en un corto viaje en autobús. así que para aquellos que prefieren un lugar más tranquilo o visitan el complejo artístico. No hay muchos restaurantes alternativos para aquellos que quieran elegir, pero el restaurante del hotel es bueno y tiene una amplia variedad."
392,La puerta de medio vidrio de la ducha debería haber sido más larga para que el piso no se mojara.
393,un poco alejado del centro de la ciudad pero no está nada mal
394,el ridículo tamaño de la piscina
